CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,24.85815191268921,7.910362005233765,16.947789907455444,1208_1214,1.0,1.0
1405,1405,0,0,22.029310703277588,7.910362005233765,14.118948698043823,1208_1405,1.0,1.0
1480,1480,0,0,18.150869846343994,7.910362005233765,10.24050784111023,1208_1480,1.0,1.0
1926,1566,360,0,41.10818552970886,7.910362005233765,33.1978235244751,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,41.45714592933655,7.910362005233765,33.54678392410278,1208_1706,1.0,1.0
2484,2016,468,0,63.326329469680786,7.910362005233765,55.41596746444702,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,49.01759338378906,7.910362005233765,41.1072313785553,1208_2315,1.0,1.0
2432,2432,0,0,51.69819951057434,7.910362005233765,43.787837505340576,1208_2432,1.0,1.0
624,516,108,0,11.584224462509155,7.910362005233765,3.6738624572753906,1208_516,0.8269230769230769,1.0
1208,1208,0,0,25.27434992790222,12.660648107528687,12.613701820373535,1214_1208,1.0,1.0
1405,1405,0,0,28.9854519367218,12.660648107528687,16.324803829193115,1214_1405,1.0,1.0
1480,1480,0,0,24.40802264213562,12.660648107528687,11.747374534606934,1214_1480,1.0,1.0
1846,1566,280,0,50.780460834503174,12.660648107528687,38.11981272697449,1214_1566,0.8483206933911159,1.0
1706,1706,0,0,51.48497176170349,12.660648107528687,38.824323654174805,1214_1706,1.0,1.0
2380,2016,364,0,78.69220161437988,12.660648107528687,66.0315535068512,1214_2016,0.8470588235294118,1.0
2315,2315,0,0,65.62518739700317,12.660648107528687,52.96453928947449,1214_2315,1.0,1.0
2432,2432,0,0,63.27935814857483,12.660648107528687,50.61871004104614,1214_2432,1.0,1.0
600,516,84,0,16.876776933670044,12.660648107528687,4.216128826141357,1214_516,0.86,1.0
1208,1208,0,0,18.79863953590393,7.5453102588653564,11.253329277038574,1405_1208,1.0,1.0
1214,1214,0,0,24.514381885528564,7.5453102588653564,16.969071626663208,1405_1214,1.0,1.0
1480,1480,0,0,17.877437829971313,7.5453102588653564,10.332127571105957,1405_1480,1.0,1.0
1926,1566,360,0,44.30772256851196,7.5453102588653564,36.762412309646606,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,40.899540185928345,7.5453102588653564,33.35422992706299,1405_1706,1.0,1.0
2484,2016,468,0,62.48855376243591,7.5453102588653564,54.94324350357056,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,45.62150287628174,7.5453102588653564,38.07619261741638,1405_2315,1.0,1.0
2432,2432,0,0,56.437376499176025,7.5453102588653564,48.89206624031067,1405_2432,1.0,1.0
624,516,108,0,11.232951641082764,7.5453102588653564,3.6876413822174072,1405_516,0.8269230769230769,1.0
1208,1208,0,0,20.060803651809692,8.646000862121582,11.41480278968811,1480_1208,1.0,1.0
