CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
990,990,0,224,0.04244852066040039,0.033284902572631836,0.009163618087768555,1208_1214,1.0,0.8154859967051071
1155,1155,0,250,0.043612003326416016,0.033284902572631836,0.01032710075378418,1208_1405,1.0,0.8220640569395018
1330,1330,0,150,0.04525160789489746,0.033284902572631836,0.011966705322265625,1208_1480,1.0,0.8986486486486487
1386,1386,0,180,0.04612851142883301,0.033284902572631836,0.012843608856201172,1208_1566,1.0,0.8850574712643678
1386,1386,0,320,0.04612016677856445,0.033284902572631836,0.012835264205932617,1208_1706,1.0,0.8124267291910903
1782,1782,0,234,0.04989457130432129,0.033284902572631836,0.016609668731689453,1208_2016,1.0,0.8839285714285714
1890,1890,0,425,0.11467313766479492,0.033284902572631836,0.08138823509216309,1208_2315,1.0,0.816414686825054
2160,2160,0,272,0.05239510536193848,0.033284902572631836,0.01911020278930664,1208_2432,1.0,0.8881578947368421
462,462,0,54,0.03776717185974121,0.033284902572631836,0.004482269287109375,1208_516,1.0,0.8953488372093024
1080,1080,0,128,0.048685312271118164,0.03855729103088379,0.010128021240234375,1214_1208,1.0,0.8940397350993378
1155,1155,0,250,0.04911088943481445,0.03855729103088379,0.010553598403930664,1214_1405,1.0,0.8220640569395018
1330,1330,0,150,0.05034351348876953,0.03855729103088379,0.011786222457885742,1214_1480,1.0,0.8986486486486487
1386,1386,0,180,0.051260948181152344,0.03855729103088379,0.012703657150268555,1214_1566,1.0,0.8850574712643678
1386,1386,0,320,0.05168461799621582,0.03855729103088379,0.013127326965332031,1214_1706,1.0,0.8124267291910903
1782,1782,0,234,0.054862260818481445,0.03855729103088379,0.016304969787597656,1214_2016,1.0,0.8839285714285714
1890,1890,0,425,0.12005758285522461,0.03855729103088379,0.08150029182434082,1214_2315,1.0,0.816414686825054
2160,2160,0,272,0.05767250061035156,0.03855729103088379,0.019115209579467773,1214_2432,1.0,0.8881578947368421
462,462,0,54,0.04301905632019043,0.03855729103088379,0.004461765289306641,1214_516,1.0,0.8953488372093024
1080,1080,0,128,0.04870176315307617,0.03888964653015137,0.009812116622924805,1405_1208,1.0,0.8940397350993378
990,990,0,224,0.048757314682006836,0.03888964653015137,0.009867668151855469,1405_1214,1.0,0.8154859967051071
1330,1330,0,150,0.050664663314819336,0.03888964653015137,0.011775016784667969,1405_1480,1.0,0.8986486486486487
1386,1386,0,180,0.05194878578186035,0.03888964653015137,0.013059139251708984,1405_1566,1.0,0.8850574712643678
1386,1386,0,320,0.05171561241149902,0.03888964653015137,0.012825965881347656,1405_1706,1.0,0.8124267291910903
