CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1214,1214,0,0,187.3993113040924,0.4353644847869873,186.96394681930542,1208_1214,1.0,1.0
1405,1405,0,0,156.7826955318451,0.4353644847869873,156.3473310470581,1208_1405,1.0,1.0
1480,1480,0,0,113.27825140953064,0.4353644847869873,112.84288692474365,1208_1480,1.0,1.0
1926,1566,360,0,366.97752118110657,0.4353644847869873,366.5421566963196,1208_1566,0.8130841121495327,1.0
1706,1706,0,0,363.1426033973694,0.4353644847869873,362.7072389125824,1208_1706,1.0,1.0
2484,2016,468,0,606.7276890277863,0.4353644847869873,606.2923245429993,1208_2016,0.8115942028985508,1.0
2315,2315,0,0,419.27576637268066,0.4353644847869873,418.8404018878937,1208_2315,1.0,1.0
2432,2432,0,0,476.8029944896698,0.4353644847869873,476.3676300048828,1208_2432,1.0,1.0
624,516,108,0,40.87040185928345,0.4353644847869873,40.43503737449646,1208_516,0.8269230769230769,1.0
1208,1208,0,0,121.98967695236206,0.5826892852783203,121.40698766708374,1214_1208,1.0,1.0
1405,1405,0,0,158.98756647109985,0.5826892852783203,158.40487718582153,1214_1405,1.0,1.0
1480,1480,0,0,115.25645399093628,0.5826892852783203,114.67376470565796,1214_1480,1.0,1.0
1926,1566,360,0,372.2483916282654,0.5826892852783203,371.66570234298706,1214_1566,0.8130841121495327,1.0
1706,1706,0,0,372.3414466381073,0.5826892852783203,371.758757352829,1214_1706,1.0,1.0
2484,2016,468,0,608.7001881599426,0.5826892852783203,608.1174988746643,1214_2016,0.8115942028985508,1.0
2315,2315,0,0,426.76602363586426,0.5826892852783203,426.18333435058594,1214_2315,1.0,1.0
2432,2432,0,0,488.50582122802734,0.5826892852783203,487.923131942749,1214_2432,1.0,1.0
624,516,108,0,41.72775220870972,0.5826892852783203,41.1450629234314,1214_516,0.8269230769230769,1.0
1208,1208,0,0,120.67265582084656,0.36101603507995605,120.3116397857666,1405_1208,1.0,1.0
1214,1214,0,0,187.7290394306183,0.36101603507995605,187.36802339553833,1405_1214,1.0,1.0
1480,1480,0,0,113.3741683959961,0.36101603507995605,113.01315236091614,1405_1480,1.0,1.0
1926,1566,360,0,366.5310847759247,0.36101603507995605,366.1700687408447,1405_1566,0.8130841121495327,1.0
1706,1706,0,0,364.4345691204071,0.36101603507995605,364.07355308532715,1405_1706,1.0,1.0
2484,2016,468,0,605.821236371994,0.36101603507995605,605.4602203369141,1405_2016,0.8115942028985508,1.0
2315,2315,0,0,420.6379563808441,0.36101603507995605,420.27694034576416,1405_2315,1.0,1.0
2432,2432,0,0,477.2995345592499,0.36101603507995605,476.9385185241699,1405_2432,1.0,1.0
624,516,108,0,40.86726903915405,0.36101603507995605,40.5062530040741,1405_516,0.8269230769230769,1.0
