CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1872,1872,0,144,2.4159023761749268,2.3319201469421387,0.08398222923278809,2016_2016,1.0,0.9285714285714286
216,216,0,0,2.375709056854248,2.3319201469421387,0.043788909912109375,2016_216,1.0,1.0
2744,2744,0,392,2.444196939468384,2.3319201469421387,0.11227679252624512,2016_3136,1.0,0.875
3600,3600,0,450,2.469835042953491,2.3319201469421387,0.13791489601135254,2016_4050,1.0,0.8888888888888888
4352,4352,0,640,2.472505807876587,2.3319201469421387,0.14058566093444824,2016_4992,1.0,0.8717948717948718
544,544,0,0,2.384305238723755,2.3319201469421387,0.05238509178161621,2016_544,1.0,1.0
56,56,0,0,2.370378255844116,2.3319201469421387,0.03845810890197754,2016_56,1.0,1.0
810,810,0,0,2.392158269882202,2.3319201469421387,0.06023812294006348,2016_810,1.0,1.0
2016,2016,0,0,2.3456356525421143,2.258857488632202,0.08677816390991211,216_2016,1.0,1.0
2744,2744,0,392,2.36665415763855,2.258857488632202,0.10779666900634766,216_3136,1.0,0.875
3600,3600,0,450,2.3857381343841553,2.258857488632202,0.12688064575195312,216_4050,1.0,0.8888888888888888
4352,4352,0,640,2.3981809616088867,2.258857488632202,0.13932347297668457,216_4992,1.0,0.8717948717948718
544,544,0,0,2.316648244857788,2.258857488632202,0.05779075622558594,216_544,1.0,1.0
56,56,0,0,2.2987914085388184,2.258857488632202,0.03993391990661621,216_56,1.0,1.0
810,810,0,0,2.3171496391296387,2.258857488632202,0.05829215049743652,216_810,1.0,1.0
1872,1872,0,144,6.334514856338501,6.236600160598755,0.0979146957397461,3136_2016,1.0,0.9285714285714286
216,216,0,0,6.2776665687561035,6.236600160598755,0.04106640815734863,3136_216,1.0,1.0
2744,2744,0,392,6.340233325958252,6.236600160598755,0.10363316535949707,3136_3136,1.0,0.875
4050,4050,0,0,6.399460077285767,6.236600160598755,0.16285991668701172,3136_4050,1.0,1.0
4608,4608,0,384,6.402975559234619,6.236600160598755,0.16637539863586426,3136_4992,1.0,0.9230769230769231
512,512,0,32,6.2885847091674805,6.236600160598755,0.051984548568725586,3136_544,1.0,0.9411764705882353
56,56,0,0,6.271411895751953,6.236600160598755,0.03481173515319824,3136_56,1.0,1.0
810,810,0,0,6.301088333129883,6.236600160598755,0.06448817253112793,3136_810,1.0,1.0
1872,1872,0,144,2.939422607421875,2.8611767292022705,0.07824587821960449,4050_2016,1.0,0.9285714285714286
216,216,0,0,2.898357629776001,2.8611767292022705,0.03718090057373047,4050_216,1.0,1.0
2884,2884,0,252,2.968959331512451,2.8611767292022705,0.10778260231018066,4050_3136,1.0,0.9196428571428571
4352,4352,0,640,2.995790481567383,2.8611767292022705,0.1346137523651123,4050_4992,1.0,0.8717948717948718
512,512,0,32,2.906688928604126,2.8611767292022705,0.04551219940185547,4050_544,1.0,0.9411764705882353
56,56,0,0,2.894033908843994,2.8611767292022705,0.03285717964172363,4050_56,1.0,1.0
810,810,0,0,2.9199771881103516,2.8611767292022705,0.058800458908081055,4050_810,1.0,1.0
2232,1872,360,144,6.10158109664917,6.009293794631958,0.09228730201721191,4992_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,6.0493247509002686,6.009293794631958,0.04003095626831055,4992_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,6.08096981048584,6.009293794631958,0.07167601585388184,4992_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,6.191980600357056,6.009293794631958,0.18268680572509766,4992_4050,0.9666666666666667,0.8592592592592593
576,512,64,32,6.062795639038086,6.009293794631958,0.05350184440612793,4992_544,0.8888888888888888,0.9411764705882353
56,56,0,0,6.040228843688965,6.009293794631958,0.030935049057006836,4992_56,1.0,1.0
810,810,0,0,6.059834241867065,6.009293794631958,0.05054044723510742,4992_810,1.0,1.0
2016,2016,0,0,2.5799617767333984,2.4766979217529297,0.10326385498046875,544_2016,1.0,1.0
216,216,0,0,2.523223876953125,2.4766979217529297,0.04652595520019531,544_216,1.0,1.0
2744,2744,0,392,2.610013484954834,2.4766979217529297,0.1333155632019043,544_3136,1.0,0.875
3600,3600,0,450,2.6357436180114746,2.4766979217529297,0.15904569625854492,544_4050,1.0,0.8888888888888888
4352,4352,0,640,2.6445791721343994,2.4766979217529297,0.16788125038146973,544_4992,1.0,0.8717948717948718
56,56,0,0,2.5201256275177,2.4766979217529297,0.04342770576477051,544_56,1.0,1.0
810,810,0,0,2.542574644088745,2.4766979217529297,0.06587672233581543,544_810,1.0,1.0
2232,1872,360,144,2.093036413192749,2.000298500061035,0.09273791313171387,56_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,2.0396478176116943,2.000298500061035,0.03934931755065918,56_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,2.0683460235595703,2.000298500061035,0.06804752349853516,56_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,2.111100673675537,2.000298500061035,0.11080217361450195,56_4050,0.9666666666666667,0.8592592592592593
4992,4992,0,0,2.1490423679351807,2.000298500061035,0.1487438678741455,56_4992,1.0,1.0
576,512,64,32,2.0622315406799316,2.000298500061035,0.061933040618896484,56_544,0.8888888888888888,0.9411764705882353
810,810,0,0,2.1322543621063232,2.000298500061035,0.13195586204528809,56_810,1.0,1.0
2232,1872,360,144,2.2394397258758545,2.142756223678589,0.09668350219726562,810_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,2.1855616569519043,2.142756223678589,0.04280543327331543,810_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,2.2173776626586914,2.142756223678589,0.07462143898010254,810_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,2.246670961380005,2.142756223678589,0.10391473770141602,810_4050,0.9666666666666667,0.8592592592592593
4352,4352,0,640,2.28120756149292,2.142756223678589,0.13845133781433105,810_4992,1.0,0.8717948717948718
576,512,64,32,2.1985177993774414,2.142756223678589,0.05576157569885254,810_544,0.8888888888888888,0.9411764705882353
56,56,0,0,2.178206205368042,2.142756223678589,0.035449981689453125,810_56,1.0,1.0
1839.2068965517242,1807.8620689655172,31.344827586206897,190.27586206896552,3.409285043847972,3.32399529424207,0.08528974960590231,average_results,0.9740602433038472,0.9409420686930826
