CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
3028,1936,1092,80,16.81341004371643,0.15641474723815918,16.65699529647827,2016_2016,0.6393659180977543,0.9603174603174603
245,212,33,4,1.2653870582580566,0.15641474723815918,1.1089723110198975,2016_216,0.8653061224489796,0.9814814814814815
8443,3126,5317,10,31.681028604507446,0.15641474723815918,31.524613857269287,2016_3136,0.37024754234276913,0.9968112244897959
6314,3834,2480,216,40.51929044723511,0.15641474723815918,40.36287569999695,2016_4050,0.6072220462464365,0.9466666666666667
10056,4992,5064,0,53.11905288696289,0.15641474723815918,52.96263813972473,2016_4992,0.4964200477326969,1.0
644,544,100,0,3.5241506099700928,0.15641474723815918,3.3677358627319336,2016_544,0.84472049689441,1.0
80,56,24,0,0.48531198501586914,0.15641474723815918,0.32889723777770996,2016_56,0.7,1.0
1269,810,459,0,5.477906942367554,0.15641474723815918,5.3214921951293945,2016_810,0.6382978723404256,1.0
2224,2016,208,0,16.749829530715942,0.08814096450805664,16.661688566207886,216_2016,0.9064748201438849,1.0
10000,3126,6874,10,31.668086051940918,0.08814096450805664,31.57994508743286,216_3136,0.3126,0.9968112244897959
6348,3858,2490,192,40.48611879348755,0.08814096450805664,40.39797782897949,216_4050,0.6077504725897921,0.9525925925925925
9672,4992,4680,0,53.179115295410156,0.08814096450805664,53.0909743309021,216_4992,0.5161290322580645,1.0
588,544,44,0,3.464571475982666,0.08814096450805664,3.3764305114746094,216_544,0.9251700680272109,1.0
80,56,24,0,0.4196949005126953,0.08814096450805664,0.33155393600463867,216_56,0.7,1.0
1215,810,405,0,5.465495586395264,0.08814096450805664,5.377354621887207,216_810,0.6666666666666666,1.0
3006,1988,1018,28,17.37311601638794,0.7699422836303711,16.60317373275757,3136_2016,0.6613439787092482,0.9861111111111112
408,216,192,0,1.8791823387145996,0.7699422836303711,1.1092400550842285,3136_216,0.5294117647058824,1.0
10686,3136,7550,0,32.12047982215881,0.7699422836303711,31.350537538528442,3136_3136,0.29346808908852706,1.0
5107,4038,1069,12,40.86285400390625,0.7699422836303711,40.09291172027588,3136_4050,0.7906794595653025,0.997037037037037
8504,4992,3512,0,53.76955556869507,0.7699422836303711,52.9996132850647,3136_4992,0.5870178739416745,1.0
1160,544,616,0,4.116027116775513,0.7699422836303711,3.3460848331451416,3136_544,0.4689655172413793,1.0
82,56,26,0,1.0974936485290527,0.7699422836303711,0.32755136489868164,3136_56,0.6829268292682927,1.0
1215,810,405,0,6.076159238815308,0.7699422836303711,5.3062169551849365,3136_810,0.6666666666666666,1.0
2892,1982,910,34,16.938150882720947,0.2547149658203125,16.683435916900635,4050_2016,0.6853388658367912,0.9831349206349206
394,216,178,0,1.3703782558441162,0.2547149658203125,1.1156632900238037,4050_216,0.5482233502538071,1.0
4261,3038,1223,98,31.96170687675476,0.2547149658203125,31.70699191093445,4050_3136,0.7129781741375264,0.96875
9664,4992,4672,0,53.544604539871216,0.2547149658203125,53.2898895740509,4050_4992,0.5165562913907285,1.0
1044,544,500,0,3.633441925048828,0.2547149658203125,3.3787269592285156,4050_544,0.5210727969348659,1.0
80,56,24,0,0.5834710597991943,0.2547149658203125,0.32875609397888184,4050_56,0.7,1.0
1134,810,324,0,5.614212989807129,0.2547149658203125,5.359498023986816,4050_810,0.7142857142857143,1.0
