CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,0.2158660888671875,0.15985321998596191,0.056012868881225586,2016_2016,1.0,1.0
216,216,0,0,0.17482352256774902,0.15985321998596191,0.01497030258178711,2016_216,1.0,1.0
3136,3136,0,0,0.2398529052734375,0.15985321998596191,0.07999968528747559,2016_3136,1.0,1.0
4050,4050,0,0,0.25928735733032227,0.15985321998596191,0.09943413734436035,2016_4050,1.0,1.0
4992,4992,0,0,0.27979040145874023,0.15985321998596191,0.11993718147277832,2016_4992,1.0,1.0
544,544,0,0,0.1818532943725586,0.15985321998596191,0.02200007438659668,2016_544,1.0,1.0
56,56,0,0,0.1707782745361328,0.15985321998596191,0.010925054550170898,2016_56,1.0,1.0
810,810,0,0,0.18688559532165527,0.15985321998596191,0.02703237533569336,2016_810,1.0,1.0
2016,2016,0,0,0.19957995414733887,0.08555054664611816,0.1140294075012207,216_2016,1.0,1.0
3136,3136,0,0,0.4866642951965332,0.08555054664611816,0.40111374855041504,216_3136,1.0,1.0
4050,4050,0,0,0.44115614891052246,0.08555054664611816,0.3556056022644043,216_4050,1.0,1.0
4992,4992,0,0,0.43598389625549316,0.08555054664611816,0.350433349609375,216_4992,1.0,1.0
544,544,0,0,0.11409425735473633,0.08555054664611816,0.028543710708618164,216_544,1.0,1.0
56,56,0,0,0.09705162048339844,0.08555054664611816,0.011501073837280273,216_56,1.0,1.0
810,810,0,0,0.13890910148620605,0.08555054664611816,0.05335855484008789,216_810,1.0,1.0
2016,2016,0,0,0.9188039302825928,0.7938833236694336,0.12492060661315918,3136_2016,1.0,1.0
216,216,0,0,0.8151683807373047,0.7938833236694336,0.021285057067871094,3136_216,1.0,1.0
3136,3136,0,0,1.2001595497131348,0.7938833236694336,0.40627622604370117,3136_3136,1.0,1.0
4050,4050,0,0,0.9809658527374268,0.7938833236694336,0.18708252906799316,3136_4050,1.0,1.0
4992,4992,0,0,1.0810322761535645,0.7938833236694336,0.28714895248413086,3136_4992,1.0,1.0
544,544,0,0,0.8367838859558105,0.7938833236694336,0.04290056228637695,3136_544,1.0,1.0
56,56,0,0,0.8083932399749756,0.7938833236694336,0.014509916305541992,3136_56,1.0,1.0
810,810,0,0,0.841181755065918,0.7938833236694336,0.047298431396484375,3136_810,1.0,1.0
2016,2016,0,0,0.562373161315918,0.2532804012298584,0.30909276008605957,4050_2016,1.0,1.0
216,216,0,0,0.2836723327636719,0.2532804012298584,0.030391931533813477,4050_216,1.0,1.0
3136,3136,0,0,1.0998480319976807,0.2532804012298584,0.8465676307678223,4050_3136,1.0,1.0
4992,4992,0,0,1.275475025177002,0.2532804012298584,1.0221946239471436,4050_4992,1.0,1.0
544,544,0,0,0.3230447769165039,0.2532804012298584,0.06976437568664551,4050_544,1.0,1.0
56,56,0,0,0.2692086696624756,0.2532804012298584,0.015928268432617188,4050_56,1.0,1.0
810,810,0,0,0.36976003646850586,0.2532804012298584,0.11647963523864746,4050_810,1.0,1.0
2232,1872,360,144,0.9659039974212646,0.8099422454833984,0.1559617519378662,4992_2016,0.8387096774193549,0.9285714285714286
252,204,48,12,0.8309409618377686,0.8099422454833984,0.020998716354370117,4992_216,0.8095238095238095,0.9444444444444444
2646,2632,14,504,0.9442167282104492,0.8099422454833984,0.13427448272705078,4992_3136,0.9947089947089947,0.8392857142857143
3600,3480,120,570,1.040572166442871,0.8099422454833984,0.23062992095947266,4992_4050,0.9666666666666667,0.8592592592592593
736,544,192,0,0.8631875514984131,0.8099422454833984,0.05324530601501465,4992_544,0.7391304347826086,1.0
56,56,0,0,0.8199002742767334,0.8099422454833984,0.009958028793334961,4992_56,1.0,1.0
810,810,0,0,0.8653233051300049,0.8099422454833984,0.055381059646606445,4992_810,1.0,1.0
2016,2016,0,0,0.41028785705566406,0.10882568359375,0.30146217346191406,544_2016,1.0,1.0
216,216,0,0,0.13779592514038086,0.10882568359375,0.02897024154663086,544_216,1.0,1.0
3136,3136,0,0,0.5755813121795654,0.10882568359375,0.46675562858581543,544_3136,1.0,1.0
4050,4050,0,0,0.7858748435974121,0.10882568359375,0.6770491600036621,544_4050,1.0,1.0
4992,4992,0,0,1.0940167903900146,0.10882568359375,0.9851911067962646,544_4992,1.0,1.0
56,56,0,0,0.12188935279846191,0.10882568359375,0.013063669204711914,544_56,1.0,1.0
810,810,0,0,0.20862817764282227,0.10882568359375,0.09980249404907227,544_810,1.0,1.0
2016,2016,0,0,0.19008708000183105,0.12151026725769043,0.06857681274414062,56_2016,1.0,1.0
216,216,0,0,0.13721156120300293,0.12151026725769043,0.0157012939453125,56_216,1.0,1.0
3136,3136,0,0,0.19954895973205566,0.12151026725769043,0.07803869247436523,56_3136,1.0,1.0
4050,4050,0,0,0.21778655052185059,0.12151026725769043,0.09627628326416016,56_4050,1.0,1.0
4992,4992,0,0,0.24103832244873047,0.12151026725769043,0.11952805519104004,56_4992,1.0,1.0
544,544,0,0,0.140777587890625,0.12151026725769043,0.01926732063293457,56_544,1.0,1.0
810,810,0,0,0.1476137638092041,0.12151026725769043,0.026103496551513672,56_810,1.0,1.0
