CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1944,1944,0,72,36.742860078811646,0.16942977905273438,36.57343029975891,2016_2016,1.0,0.9642857142857143
216,216,0,0,2.752866744995117,0.16942977905273438,2.583436965942383,2016_216,1.0,1.0
3199,2968,231,168,60.71423387527466,0.16942977905273438,60.544804096221924,2016_3136,0.9277899343544858,0.9464285714285714
3900,3900,0,150,72.8471109867096,0.16942977905273438,72.67768120765686,2016_4050,1.0,0.9629629629629629
4992,4992,0,0,99.74041366577148,0.16942977905273438,99.57098388671875,2016_4992,1.0,1.0
544,544,0,0,6.911296844482422,0.16942977905273438,6.7418670654296875,2016_544,1.0,1.0
62,56,6,0,1.7406930923461914,0.16942977905273438,1.571263313293457,2016_56,0.9032258064516129,1.0
810,810,0,0,10.450974702835083,0.16942977905273438,10.281544923782349,2016_810,1.0,1.0
2016,2016,0,0,28.00494909286499,0.09268760681152344,27.912261486053467,216_2016,1.0,1.0
3185,3052,133,84,55.258649587631226,0.09268760681152344,55.1659619808197,216_3136,0.9582417582417583,0.9732142857142857
3915,3915,0,135,67.1925733089447,0.09268760681152344,67.09988570213318,216_4050,1.0,0.9666666666666667
5088,4992,96,0,90.76545357704163,0.09268760681152344,90.6727659702301,216_4992,0.9811320754716981,1.0
560,544,16,0,6.33040189743042,0.09268760681152344,6.2377142906188965,216_544,0.9714285714285714,1.0
60,56,4,0,1.361637830734253,0.09268760681152344,1.2689502239227295,216_56,0.9333333333333333,1.0
828,810,18,0,9.451807498931885,0.09268760681152344,9.359119892120361,216_810,0.9782608695652174,1.0
1872,1872,0,144,54.575053215026855,0.8619847297668457,53.71306848526001,3136_2016,1.0,0.9285714285714286
222,216,6,0,5.652573823928833,0.8619847297668457,4.790589094161987,3136_216,0.972972972972973,1.0
4132,2996,1136,140,107.79501962661743,0.8619847297668457,106.93303489685059,3136_3136,0.7250726040658277,0.9553571428571429
4050,4050,0,0,134.76856589317322,0.8619847297668457,133.90658116340637,3136_4050,1.0,1.0
4992,4992,0,0,174.2159185409546,0.8619847297668457,173.35393381118774,3136_4992,1.0,1.0
520,512,8,32,12.680383920669556,0.8619847297668457,11.81839919090271,3136_544,0.9846153846153847,0.9411764705882353
63,56,7,0,4.512376546859741,0.8619847297668457,3.6503918170928955,3136_56,0.8888888888888888,1.0
810,810,0,0,18.87589979171753,0.8619847297668457,18.013915061950684,3136_810,1.0,1.0
1872,1872,0,144,34.191519021987915,0.26336145401000977,33.928157567977905,4050_2016,1.0,0.9285714285714286
222,216,6,0,3.202956438064575,0.26336145401000977,2.9395949840545654,4050_216,0.972972972972973,1.0
3185,2940,245,196,67.51166272163391,0.26336145401000977,67.2483012676239,4050_3136,0.9230769230769231,0.9375
4992,4992,0,0,111.16383504867554,0.26336145401000977,110.90047359466553,4050_4992,1.0,1.0
520,512,8,32,7.756047487258911,0.26336145401000977,7.492686033248901,4050_544,0.9846153846153847,0.9411764705882353
69,56,13,0,2.098261594772339,0.26336145401000977,1.834900140762329,4050_56,0.8115942028985508,1.0
810,810,0,0,11.842309951782227,0.26336145401000977,11.578948497772217,4050_810,1.0,1.0
2156,1944,212,72,56.86560773849487,1.431323766708374,55.4342839717865,4992_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,6.8192174434661865,1.431323766708374,5.3878936767578125,4992_216,0.8181818181818182,1.0
3550,2828,722,308,110.05313563346863,1.431323766708374,108.62181186676025,4992_3136,0.7966197183098591,0.9017857142857143
4095,3615,480,435,137.72362756729126,1.431323766708374,136.29230380058289,4992_4050,0.8827838827838828,0.8925925925925926
576,512,64,32,13.823923349380493,1.431323766708374,12.39259958267212,4992_544,0.8888888888888888,0.9411764705882353
62,56,6,0,5.337585687637329,1.431323766708374,3.906261920928955,4992_56,0.9032258064516129,1.0
810,810,0,0,19.764655828475952,1.431323766708374,18.333332061767578,4992_810,1.0,1.0
2024,1944,80,72,28.364412307739258,0.11899018287658691,28.24542212486267,544_2016,0.9604743083003953,0.9642857142857143
222,216,6,0,2.528757333755493,0.11899018287658691,2.4097671508789062,544_216,0.972972972972973,1.0
4519,2926,1593,210,57.26461386680603,0.11899018287658691,57.14562368392944,544_3136,0.6474883823854836,0.9330357142857143
4014,3630,384,420,69.5842125415802,0.11899018287658691,69.46522235870361,544_4050,0.9043348281016442,0.8962962962962963
4992,4992,0,0,92.95584654808044,0.11899018287658691,92.83685636520386,544_4992,1.0,1.0
56,56,0,0,1.483975887298584,0.11899018287658691,1.364985704421997,544_56,1.0,1.0
810,810,0,0,9.701427459716797,0.11899018287658691,9.58243727684021,544_810,1.0,1.0
1824,1792,32,224,29.04248881340027,0.22681021690368652,28.815678596496582,56_2016,0.9824561403508771,0.8888888888888888
198,196,2,20,2.863621234893799,0.22681021690368652,2.6368110179901123,56_216,0.98989898989899,0.9074074074074074
3284,2750,534,386,58.5587317943573,0.22681021690368652,58.33192157745361,56_3136,0.8373934226552984,0.8769132653061225
3568,3436,132,614,69.30046105384827,0.22681021690368652,69.07365083694458,56_4050,0.9630044843049327,0.8483950617283951
4992,4992,0,0,94.21250486373901,0.22681021690368652,93.98569464683533,56_4992,1.0,1.0
496,496,0,48,6.618272542953491,0.22681021690368652,6.391462326049805,56_544,1.0,0.9117647058823529
810,810,0,0,10.017407894134521,0.22681021690368652,9.790597677230835,56_810,1.0,1.0
2156,1944,212,72,29.46495008468628,0.1467759609222412,29.318174123764038,810_2016,0.9016697588126159,0.9642857142857143
264,216,48,0,2.6175076961517334,0.1467759609222412,2.470731735229492,810_216,0.8181818181818182,1.0
3458,2800,658,336,58.631511211395264,0.1467759609222412,58.48473525047302,810_3136,0.8097165991902834,0.8928571428571429
