CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,22.770629167556763,3.913072347640991,18.85755681991577,2016_2016,1.0,1.0
216,216,0,0,4.967674493789673,3.913072347640991,1.0546021461486816,2016_216,1.0,1.0
3136,3136,0,0,33.41904973983765,3.913072347640991,29.505977392196655,2016_3136,1.0,1.0
4050,4050,0,0,41.954927921295166,3.913072347640991,38.041855573654175,2016_4050,1.0,1.0
4992,4992,0,0,53.506115674972534,3.913072347640991,49.59304332733154,2016_4992,1.0,1.0
544,544,0,0,7.083835124969482,3.913072347640991,3.170762777328491,2016_544,1.0,1.0
56,56,0,0,4.608654975891113,3.913072347640991,0.6955826282501221,2016_56,1.0,1.0
810,810,0,0,8.98597240447998,3.913072347640991,5.072900056838989,2016_810,1.0,1.0
2016,2016,0,0,18.26483130455017,2.7757456302642822,15.489085674285889,216_2016,1.0,1.0
3136,3136,0,0,32.25762891769409,2.7757456302642822,29.48188328742981,216_3136,1.0,1.0
4050,4050,0,0,40.83529877662659,2.7757456302642822,38.059553146362305,216_4050,1.0,1.0
4992,4992,0,0,52.42532277107239,2.7757456302642822,49.649577140808105,216_4992,1.0,1.0
544,544,0,0,5.937960386276245,2.7757456302642822,3.162214756011963,216_544,1.0,1.0
56,56,0,0,3.446925163269043,2.7757456302642822,0.6711795330047607,216_56,1.0,1.0
810,810,0,0,7.77131724357605,2.7757456302642822,4.995571613311768,216_810,1.0,1.0
2016,2016,0,0,26.203615427017212,10.849464654922485,15.354150772094727,3136_2016,1.0,1.0
216,216,0,0,11.896127462387085,10.849464654922485,1.0466628074645996,3136_216,1.0,1.0
3136,3136,0,0,40.04331135749817,10.849464654922485,29.193846702575684,3136_3136,1.0,1.0
4050,4050,0,0,48.46059703826904,10.849464654922485,37.61113238334656,3136_4050,1.0,1.0
4992,4992,0,0,60.082624197006226,10.849464654922485,49.23315954208374,3136_4992,1.0,1.0
544,544,0,0,13.98624849319458,10.849464654922485,3.1367838382720947,3136_544,1.0,1.0
56,56,0,0,11.545146226882935,10.849464654922485,0.6956815719604492,3136_56,1.0,1.0
810,810,0,0,15.796911239624023,10.849464654922485,4.947446584701538,3136_810,1.0,1.0
2016,2016,0,0,21.049195766448975,5.654704570770264,15.394491195678711,4050_2016,1.0,1.0
216,216,0,0,6.710493087768555,5.654704570770264,1.055788516998291,4050_216,1.0,1.0
3136,3136,0,0,34.93807029724121,5.654704570770264,29.283365726470947,4050_3136,1.0,1.0
4992,4992,0,0,55.41593527793884,5.654704570770264,49.76123070716858,4050_4992,1.0,1.0
544,544,0,0,8.786333084106445,5.654704570770264,3.1316285133361816,4050_544,1.0,1.0
56,56,0,0,6.350637435913086,5.654704570770264,0.6959328651428223,4050_56,1.0,1.0
810,810,0,0,10.61645770072937,5.654704570770264,4.9617531299591064,4050_810,1.0,1.0
1842,1802,40,214,24.968515634536743,9.576379537582397,15.392136096954346,4992_2016,0.9782844733984799,0.8938492063492064
218,204,14,12,10.62254285812378,9.576379537582397,1.0461633205413818,4992_216,0.9357798165137615,0.9444444444444444
2932,2848,84,288,39.014631509780884,9.576379537582397,29.438251972198486,4992_3136,0.9713506139154161,0.9081632653061225
3523,3489,34,561,47.230873584747314,9.576379537582397,37.65449404716492,4992_4050,0.9903491342605734,0.8614814814814815
544,512,32,32,12.711244106292725,9.576379537582397,3.134864568710327,4992_544,0.9411764705882353,0.9411764705882353
56,56,0,0,10.247445344924927,9.576379537582397,0.6710658073425293,4992_56,1.0,1.0
810,810,0,0,14.546993255615234,9.576379537582397,4.970613718032837,4992_810,1.0,1.0
2016,2016,0,0,18.638012886047363,3.1588385105133057,15.479174375534058,544_2016,1.0,1.0
216,216,0,0,4.2101829051971436,3.1588385105133057,1.051344394683838,544_216,1.0,1.0
3136,3136,0,0,32.615713596343994,3.1588385105133057,29.45687508583069,544_3136,1.0,1.0
4050,4050,0,0,41.06474041938782,3.1588385105133057,37.90590190887451,544_4050,1.0,1.0
