CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
1584,1584,0,432,0.059227705001831055,0.044698238372802734,0.01452946662902832,2016_2016,1.0,0.7857142857142857
180,180,0,36,0.046680450439453125,0.044698238372802734,0.0019822120666503906,2016_216,1.0,0.8333333333333334
2548,2548,0,588,0.06780123710632324,0.044698238372802734,0.023102998733520508,2016_3136,1.0,0.8125
3150,3150,0,900,0.07269287109375,0.044698238372802734,0.027994632720947266,2016_4050,1.0,0.7777777777777778
3840,3840,0,1152,0.07841038703918457,0.044698238372802734,0.033712148666381836,2016_4992,1.0,0.7692307692307693
448,448,0,96,0.04923844337463379,0.044698238372802734,0.004540205001831055,2016_544,1.0,0.8235294117647058
48,48,0,8,0.04564213752746582,0.044698238372802734,0.0009438991546630859,2016_56,1.0,0.8571428571428571
648,648,0,162,0.05116391181945801,0.044698238372802734,0.0064656734466552734,2016_810,1.0,0.8
1584,1584,0,432,0.020090341567993164,0.005467414855957031,0.014622926712036133,216_2016,1.0,0.7857142857142857
2548,2548,0,588,0.028418302536010742,0.005467414855957031,0.02295088768005371,216_3136,1.0,0.8125
3150,3150,0,900,0.10268759727478027,0.005467414855957031,0.09722018241882324,216_4050,1.0,0.7777777777777778
3840,3840,0,1152,0.039780378341674805,0.005467414855957031,0.03431296348571777,216_4992,1.0,0.7692307692307693
448,448,0,96,0.010036230087280273,0.005467414855957031,0.004568815231323242,216_544,1.0,0.8235294117647058
48,48,0,8,0.006419181823730469,0.005467414855957031,0.0009517669677734375,216_56,1.0,0.8571428571428571
648,648,0,162,0.012337446212768555,0.005467414855957031,0.0068700313568115234,216_810,1.0,0.8
1584,1584,0,432,0.08641386032104492,0.07174324989318848,0.014670610427856445,3136_2016,1.0,0.7857142857142857
180,180,0,36,0.07372832298278809,0.07174324989318848,0.0019850730895996094,3136_216,1.0,0.8333333333333334
2548,2548,0,588,0.09478592872619629,0.07174324989318848,0.023042678833007812,3136_3136,1.0,0.8125
3150,3150,0,900,0.09993839263916016,0.07174324989318848,0.02819514274597168,3136_4050,1.0,0.7777777777777778
3840,3840,0,1152,0.17602849006652832,0.07174324989318848,0.10428524017333984,3136_4992,1.0,0.7692307692307693
448,448,0,96,0.07633256912231445,0.07174324989318848,0.0045893192291259766,3136_544,1.0,0.8235294117647058
48,48,0,8,0.07269740104675293,0.07174324989318848,0.0009541511535644531,3136_56,1.0,0.8571428571428571
648,648,0,162,0.07825636863708496,0.07174324989318848,0.006513118743896484,3136_810,1.0,0.8
1584,1584,0,432,0.10375618934631348,0.08926892280578613,0.014487266540527344,4050_2016,1.0,0.7857142857142857
180,180,0,36,0.09131217002868652,0.08926892280578613,0.0020432472229003906,4050_216,1.0,0.8333333333333334
2548,2548,0,588,0.11234807968139648,0.08926892280578613,0.02307915687561035,4050_3136,1.0,0.8125
3840,3840,0,1152,0.12360000610351562,0.08926892280578613,0.03433108329772949,4050_4992,1.0,0.7692307692307693
