CL,TP,FP,FN,T,T_T,T_P,Instances,Precision,Recall
2016,2016,0,0,124.68839383125305,0.4930119514465332,124.19538187980652,2016_2016,1.0,1.0
216,216,0,0,8.258113861083984,0.4930119514465332,7.765101909637451,2016_216,1.0,1.0
3136,3136,0,0,232.84690761566162,0.4930119514465332,232.3538956642151,2016_3136,1.0,1.0
4050,4050,0,0,301.53161334991455,0.4930119514465332,301.038601398468,2016_4050,1.0,1.0
4992,4992,0,0,393.65007305145264,0.4930119514465332,393.1570611000061,2016_4992,1.0,1.0
544,544,0,0,25.471314668655396,0.4930119514465332,24.978302717208862,2016_544,1.0,1.0
56,56,0,0,2.1555702686309814,0.4930119514465332,1.6625583171844482,2016_56,1.0,1.0
810,810,0,0,40.09490704536438,0.4930119514465332,39.60189509391785,2016_810,1.0,1.0
2016,2016,0,0,124.49638986587524,0.332930326461792,124.16345953941345,216_2016,1.0,1.0
3136,3136,0,0,232.7616901397705,0.332930326461792,232.42875981330872,216_3136,1.0,1.0
4050,4050,0,0,302.2581295967102,0.332930326461792,301.9251992702484,216_4050,1.0,1.0
4992,4992,0,0,394.9651110172272,0.332930326461792,394.6321806907654,216_4992,1.0,1.0
544,544,0,0,24.976272583007812,0.332930326461792,24.64334225654602,216_544,1.0,1.0
56,56,0,0,1.9921033382415771,0.332930326461792,1.6591730117797852,216_56,1.0,1.0
810,810,0,0,39.72878289222717,0.332930326461792,39.39585256576538,216_810,1.0,1.0
2016,2016,0,0,125.31386280059814,2.073984384536743,123.2398784160614,3136_2016,1.0,1.0
216,216,0,0,9.786729097366333,2.073984384536743,7.71274471282959,3136_216,1.0,1.0
3136,3136,0,0,231.88880038261414,2.073984384536743,229.8148159980774,3136_3136,1.0,1.0
4050,4050,0,0,303.1938078403473,2.073984384536743,301.11982345581055,3136_4050,1.0,1.0
4992,4992,0,0,393.72193574905396,2.073984384536743,391.6479513645172,3136_4992,1.0,1.0
544,544,0,0,26.488637447357178,2.073984384536743,24.414653062820435,3136_544,1.0,1.0
56,56,0,0,3.730574369430542,2.073984384536743,1.6565899848937988,3136_56,1.0,1.0
810,810,0,0,41.247347354888916,2.073984384536743,39.17336297035217,3136_810,1.0,1.0
2016,2016,0,0,124.8161096572876,0.7273144721984863,124.08879518508911,4050_2016,1.0,1.0
216,216,0,0,8.506558418273926,0.7273144721984863,7.7792439460754395,4050_216,1.0,1.0
3136,3136,0,0,233.22045135498047,0.7273144721984863,232.49313688278198,4050_3136,1.0,1.0
4992,4992,0,0,394.4377851486206,0.7273144721984863,393.7104706764221,4050_4992,1.0,1.0
544,544,0,0,25.406405925750732,0.7273144721984863,24.679091453552246,4050_544,1.0,1.0
56,56,0,0,2.3929922580718994,0.7273144721984863,1.665677785873413,4050_56,1.0,1.0
810,810,0,0,40.078092098236084,0.7273144721984863,39.3507776260376,4050_810,1.0,1.0
20000,20000,0,0,1976.1905705928802,0.4878537654876709,1975.7027168273926,4992_20000,1.0,1.0
1952,1760,192,256,125.40827775001526,2.17150616645813,123.23677158355713,4992_2016,0.9016393442622951,0.873015873015873
216,196,20,20,9.866410732269287,2.17150616645813,7.694904565811157,4992_216,0.9074074074074074,0.9074074074074074
3076,2632,444,504,232.53100490570068,2.17150616645813,230.35949873924255,4992_3136,0.8556566970091027,0.8392857142857143
3854,3436,418,614,301.18547654151917,2.17150616645813,299.01397037506104,4992_4050,0.8915412558380903,0.8483950617283951
560,496,64,48,26.559736251831055,2.17150616645813,24.388230085372925,4992_544,0.8857142857142857,0.9117647058823529
56,56,0,0,3.81917142868042,2.17150616645813,1.64766526222229,4992_56,1.0,1.0
810,810,0,0,41.29138660430908,2.17150616645813,39.11988043785095,4992_810,1.0,1.0
2016,2016,0,0,124.30063962936401,0.3818168640136719,123.91882276535034,544_2016,1.0,1.0
216,216,0,0,8.124819278717041,0.3818168640136719,7.743002414703369,544_216,1.0,1.0
3136,3136,0,0,232.70023345947266,0.3818168640136719,232.31841659545898,544_3136,1.0,1.0
4050,4050,0,0,302.15535974502563,0.3818168640136719,301.77354288101196,544_4050,1.0,1.0
4992,4992,0,0,394.07116651535034,0.3818168640136719,393.68934965133667,544_4992,1.0,1.0
56,56,0,0,2.0386340618133545,0.3818168640136719,1.6568171977996826,544_56,1.0,1.0
810,810,0,0,39.72912621498108,0.3818168640136719,39.34730935096741,544_810,1.0,1.0
1936,1712,224,304,123.19899201393127,0.3927168846130371,122.80627512931824,56_2016,0.8842975206611571,0.8492063492063492
208,188,20,28,8.177156448364258,0.3927168846130371,7.784439563751221,56_216,0.9038461538461539,0.8703703703703703
3064,2620,444,516,230.75621485710144,0.3927168846130371,230.3634979724884,56_3136,0.8550913838120104,0.8354591836734694
3898,3392,506,658,300.93518114089966,0.3927168846130371,300.5424642562866,56_4050,0.8701898409440739,0.8375308641975309
4992,4992,0,0,393.6433539390564,0.3927168846130371,393.25063705444336,56_4992,1.0,1.0
544,480,64,64,24.757002353668213,0.3927168846130371,24.364285469055176,56_544,0.8823529411764706,0.8823529411764706
810,810,0,0,39.47842240333557,0.3927168846130371,39.085705518722534,56_810,1.0,1.0
20000,20000,0,0,1997.20685172081,0.15111565589904785,1997.055736064911,810_20000,1.0,1.0
1872,1872,0,144,124.4498701095581,0.4025866985321045,124.047283411026,810_2016,1.0,0.9285714285714286
204,204,0,12,8.1525297164917,0.4025866985321045,7.749943017959595,810_216,1.0,0.9444444444444444
2650,2644,6,492,232.89019513130188,0.4025866985321045,232.48760843276978,810_3136,0.9977358490566037,0.8431122448979592
3486,3480,6,570,301.72240948677063,0.4025866985321045,301.3198227882385,810_4050,0.9982788296041308,0.8592592592592593
4992,4992,0,0,394.4441258907318,0.4025866985321045,394.0415391921997,810_4992,1.0,1.0
544,544,0,0,24.986377239227295,0.4025866985321045,24.58379054069519,810_544,1.0,1.0
56,56,0,0,2.0574073791503906,0.4025866985321045,1.6548206806182861,810_56,1.0,1.0
2567.8333333333335,2527.7,40.13333333333333,70.5,204.01555944283803,0.8672839999198914,203.14827544291813,average_results,0.9805625251555298,0.9705029308019506
